оплатить,деньги
оплатить,зарплата
оплатить,квартплата
оплатить,долг
оплатить,налог
оплатить,счет
оплатить,штраф
влияние,оказывать
влияние,иметь
влияние,приобрести
влияние,усилить
влияние,утратить
влияние,ослабить
влияние,восстановить
решение,искать
решение,находить
решение,принять
решение,изменять
решение,принимать
решение,навязывать
обязанность,принять
обязанность,выполнить
обязанность,выполнять
совет,дать
совет,получить
совет,принять
совет,попросить
совет,ждать
совет,последовать
вопрос,задать
вопрос,ответить
вопрос,задать
вопрос,подготовить
вопрос,сформулировать
вопрос,предложить
вопрос,уточнить
вопрос,повторить
вопрос,услышать
вопрос,понять
вопрос,записать
вопрос,обдумать
обсуждать,вопрос
обсуждать,проблема
обсуждать,план
обсуждать,статья
обсуждать,доклад
обсуждать,выступление
обсуждать,проект
обсуждать,директивы
обсуждать,итог
обсуждать,материал
обсуждать,предложение
обсуждать,работа
обсуждать,поведение
обсуждать,поступок
обсуждать,слово
обсуждать,кандидатура
обсуждать,положение
обсуждать,новость
обсуждать,кинофильм
обсуждать,книга
обсуждать,произведение
ошибка,сделать
ошибка,совершить
ошибка,допустить
ошибка,обнаружить
ошибка,найти
ошибка,увидеть
ошибка,заметить
ошибка,объяснить
ошибка,осознать
ошибка,признавать
ошибка,повторять
ошибка,исправить
ошибка,подчеркнуть
ошибка,пропустить
мнение,иметь
мнение,составлять
мнение,формулировать
мнение,высказывать
мнение,выражать
мнение,отстаивать
мнение,защищать
мнение,обосновывать
мнение,подкреплять
мнение,аргументировать
мнение,менять
мнение,взвешивать
мнение,подтверждать
мнение,оспаривать
мнение,опровергать
мнение,выслушивать
мнение,учитывать
мнение,разделять
мнение,ценить
мнение,игнорировать
мнение,отвергать
мнение,скрывать
мнение,держать
мнение,спрашивать
мнение,навязывать
мнение,рассматривать
мнение,собирать
мнение,суммировать
мнение,быть
мнение,придерживаться
мнение,держаться
интерес,проявлять
интерес,иметь
интерес,вызывать
интерес,пробуждать
интерес,чувствовать
интерес,развивать
интерес,поддерживать
интерес,терять
оплатить,счёт
